CVE_MUN,CVE_ENT,NOM_ENT,NOM_MUN,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL_5000,PO2SM,IM,GM
09012,09,Distrito Federal,Tlalpan,650567,2.25,9.46,0.13,0.23,11.37,26.07,1.46,1.78,25.6,-1.79,Muy bajo
09013,09,Distrito Federal,Xochimilco,415007,2.73,9.92,0.19,0.31,6.69,32.8,2.38,1.72,32.72,-1.64,Muy bajo
09008,09,Distrito Federal,La Magdalena Contreras,239086,2.65,11.13,0.1,0.09,3.57,30.83,1.36,0.27,26.99,-1.75,Muy bajo
09002,09,Distrito Federal,Azcapotzalco,414711,1.63,7.19,0.03,0.01,0.17,23.39,0.6,0,24.34,-1.99,Muy bajo
09014,09,Distrito Federal,Benito Juarez,385439,0.56,3.06,0.02,0.01,0.04,8.19,0.26,0,17.07,-2.34,Muy bajo
09015,09,Distrito Federal,Cuauhtemoc,531831,1.44,6.45,0.05,0.05,0.08,19.42,0.33,0,26.07,-2.04,Muy bajo
09010,09,Distrito Federal,alvaro Obregon,727034,2.19,9.43,0.04,0.04,0.76,26.94,1.18,0.05,23.64,-1.9,Muy bajo
09005,09,Distrito Federal,Gustavo A. Madero,1185772,2.17,9.15,0.06,0.04,0.29,27.79,0.96,0,31.76,-1.82,Muy bajo
09004,09,Distrito Federal,Cuajimalpa de Morelos,186391,2.37,9.64,0.13,0.08,1.67,29.51,1.53,1.54,24.21,-1.83,Muy bajo
09016,09,Distrito Federal,Miguel Hidalgo,372889,1.21,6.02,0.02,0.02,0.03,17.06,0.52,0,20.63,-2.13,Muy bajo
09006,09,Distrito Federal,Iztacalco,384326,1.79,8.19,0.03,0.02,0.04,25.31,0.75,0,26.09,-1.93,Muy bajo
09003,09,Distrito Federal,Coyoacan,620416,1.55,6.48,0.09,0.02,0.06,18,0.85,0,20.23,-2.11,Muy bajo
09017,09,Distrito Federal,Venustiano Carranza,430978,1.58,7.41,0.04,0.03,0.03,26.63,0.42,0,28.64,-1.91,Muy bajo
09011,09,Distrito Federal,Tlahuac,360265,2.46,9.65,0.13,0.16,1.6,33.11,1.49,2.27,38.29,-1.64,Muy bajo
09007,09,Distrito Federal,Iztapalapa,1815786,2.8,10.89,0.08,0.07,0.73,33.09,1.2,0,36.04,-1.66,Muy bajo
09009,09,Distrito Federal,Milpa Alta,130582,4.06,12.7,0.68,0.42,10.71,42.98,4.22,21.61,52.39,-1.12,Bajo
12006,12,Guerrero,Apaxtla,12389,18.84,37.1,24.04,2.26,26.43,46.95,23.82,43.2,68.49,0.49,Alto
